抓取时间,排名,超话名称,艺人姓名,日新帖,今日新增粉丝,今日签到人数,今日签到,超Like人数,超Like,距离上一名,错误信息
2026-07-14 09:00:57,1,陈奕恒,陈奕恒,94000,1084,91000,91000,25134,25134,,
2026-07-14 09:00:57,2,王橹杰,王橹杰,22000,1096,90000,90000,13570,13570,11564,
2026-07-14 09:00:57,3,陈浚铭,陈浚铭,48000,740,97000,97000,11984,11984,1586,
2026-07-14 09:00:57,4,左奇函,左奇函,38000,823,81000,81000,10745,10745,1239,
2026-07-14 09:00:57,5,杨博文,杨博文,23000,805,104000,104000,9236,9236,1509,
2026-07-14 09:00:57,6,张桂源,张桂源,24000,762,108000,108000,8774,8774,462,
2026-07-14 09:00:57,7,李煜东,李煜东,7205,252,30000,30000,7830,7830,944,
2026-07-14 09:00:57,8,张函瑞,张函瑞,17000,350,81000,81000,6549,6549,1281,
2026-07-14 09:00:57,9,张奕然,张奕然,9743,1000,24000,24000,6336,6336,213,
2026-07-14 09:00:57,10,陈思罕,陈思罕,11000,505,29000,29000,4862,4862,1474,
2026-07-14 09:00:57,11,魏子宸,魏子宸,9958,738,17000,17000,1930,1930,2932,
2026-07-14 09:00:57,12,聂玮辰,聂玮辰,1461,194,9755,9755,394,394,1536,
2026-07-14 09:00:57,13,杨涵博,杨涵博,738,103,5517,5517,364,364,30,
2026-07-14 09:00:57,14,官俊臣,官俊臣,429,149,6469,6469,242,242,122,
2026-07-14 09:00:57,15,王烁然,王烁然,345,192,2208,2208,125,125,117,
