抓取时间,排名,艺人姓名,实时获赞数,距离上一名,粉丝数,点赞一次,点赞两次,点赞三次,错误信息
2026-07-17 12:48:30,1,王橹杰,5786,,35237,409,43,1763,
2026-07-17 12:48:30,2,杨博文,4415,1371,67310,170,28,1396,
2026-07-17 12:48:30,3,陈浚铭,3797,618,33460,200,34,1172,
2026-07-17 12:48:30,4,张桂源,3369,428,51230,193,30,1037,
2026-07-17 12:48:30,5,陈奕恒,2829,540,28118,162,15,877,
2026-07-17 12:48:30,6,张函瑞,2251,578,29026,86,14,712,
2026-07-17 12:48:30,7,张奕然,1756,495,11609,41,12,564,
2026-07-17 12:48:30,8,左奇函,1387,369,21515,92,16,418,
2026-07-17 12:48:30,9,陈思罕,1327,60,13384,146,11,385,
2026-07-17 12:48:30,10,李煜东,694,633,16784,27,7,216,
